Subject,0827CI221001,0827CI221002,0827CI221003,0827CI221004,0827CI221005,0827CI221006,0827CI221007,0827CI221008,0827CI221009,0827CI221010,0827CI221011,0827CI221012,0827CI221013,0827CI221014,0827CI221015,0827CI221016,0827CI221017,0827CI221018,0827CI221019,0827CI221020,0827CI221021,0827CI221022,0827CI221023,0827CI221024,0827CI221025,0827CI221026,0827CI221027,0827CI221028,0827CI221029,0827CI221030,0827CI221031,0827CI221032,0827CI221033,0827CI221034,0827CI221035,0827CI221036,0827CI221037,0827CI221038,0827CI221039,0827CI221040,0827CI221041,0827CI221042,0827CI221043,0827CI221044,0827CI221045,0827CI221046,0827CI221047,0827CI221048,0827CI221049,0827CI221050,0827CI221051,0827CI221052,0827CI221053,0827CI221054,0827CI221055,0827CI221056,0827CI221057,0827CI221058,0827CI221059,0827CI221060,0827CI221061,0827CI221062,0827CI221063,0827CI221064,0827CI221065,0827CI221066,0827CI221067,0827CI221068,0827CI221069,0827CI221070,0827CI221071,0827CI221072,0827CI221073,0827CI221074,0827CI221075,0827CI221076,0827CI221077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT401- [T],C+,B+,C+,B+,C,B,B,C+,C,C+,B,B,C,C,C+,C+,C,C,,C+,C,C+,C+,C,B,B,C,C,C,C,B,B+,C+,F,B,D,B,B,B,B,C,F,B,B+,B,B+,C+,B,F (ABS),F,C,C,B+,B+,B,,C+,C,B,B+,C+,C+,C,B,B,B,B,C+,cs,F,C,B,C+,C,B,F,C+
CSIT402- [T],D,B,C+,B+,C,C+,C,C,D,B,C,C+,F,C+,C+,B,C,C,,C+,C,C,B,B,B,C+,D##,C,C+,D,B+,B,C+,C,B+,D,C+,C,B,C+,C,C,C,C+,C+,A,C,C+,F (ABS),F,D,F,C,B+,C,,C+,D,B+,A,D,C+,D,B+,C+,C+,B,B+,,F,C,B,C,C,B,D,C+
CSIT403- [T],D,C+,C+,B,C,C,C,D,D,C+,D,C,D,C+,C+,C+,C+,D,,C,C,C,B,B,C+,B,C,D,B,C+,B,B+,C+,D,B+,D,C+,C+,B+,B,C+,D,C+,B,C+,B,C,C+,F,F,D,D,C+,C+,D,,B,D,B,B,D,C,D,C+,C,C,C,C+,,D,C,B,C+,C,B,D,C+
CSIT404- [T],C,C+,B,B+,C+,B,C+,C+,C,B,C,C+,C,B,B,B+,C+,C+,,C+,C+,C+,B,B,B,B,C+,D,B,C,B,B,C+,C,B+,C,D,C,B+,B,C,C,C+,B,C+,B+,C,B+,C,F,C+,C,C+,B,B,,B,D##,B+,B+,C,C,C,B+,B,B+,B,B,,F,C+,B+,C+,B,B,D,C+
CSIT405- [T],F,C+,C+,B,C,C,C,C##,F,B,C,C+,F,C+,C+,B,F,C+,,C+,C,C+,B,B+,B+,C+,C+,F,B,C,B,B,B,C,A,C,C+,B,B+,B+,C+,C,C+,B,C+,B,C,A,F,C,C,C,C,B,C+,,B,D##,A,A,D##,C,C,B+,C+,C+,B,C+,,F,C+,B+,C+,C+,B+,F,C+
CSIT402- [P],C,A,B,A,C+,C+,B,B+,B,A,C+,A+,C+,B+,C+,A+,A,C+,,B+,B,B,B,A,B,B,C+,C+,C+,B+,A,C+,B,C,A+,C+,B+,C+,A+,A,B,C+,B+,A,A,A+,C+,B+,C+,B,B+,C+,B+,B+,B,,A,C+,A,A+,C+,B,C+,A,B+,B,B,B,,C+,B+,A,B,B,A,B+,B
CSIT403- [P],C+,A,A,A,B,A,B+,A,A,A,A,A+,C,A,A,A,A,C+,,B+,B+,B+,A,A+,B,A,B+,C+,B+,A,A,B,A,B+,A,B,B+,B+,A+,A+,B+,B,A,A+,A,A+,B,A+,F,B,B,B,B,B,B+,,A+,B,A+,A+,C+,B,B+,A+,B,B+,B+,B,,B,A,A+,A+,B,B+,B,A
CSIT404- [P],C+,A,B+,A+,B,B+,B+,A,B,A+,B,A+,B,A,A,A,A,B,,B+,B+,B+,A,A+,B+,B+,B+,B,B+,B+,A+,B+,B+,C+,A+,C+,B+,B+,A,A+,B,B,B,A+,A,A+,B,A+,C+,B,B+,B,B+,A,B+,,A+,B,A,A+,B,B,B,A+,B+,B,B+,B+,,C+,B+,A+,B+,C+,A,B,B
CSIT405- [P],B,A,B+,A+,B+,B+,B+,B+,B+,A,A,A+,C+,A,A,A,A+,B,,B,B+,B+,A,A+,B+,A,B+,B+,B,A,B+,B,B+,B,A+,B,B,B+,A+,A+,B,B,A,A+,B+,A+,B+,A+,C,B+,B+,B+,B+,A,B,,A+,B,A+,A+,B,B,B+,A+,A,B+,B+,B,,B,A,A+,A,B+,A,B+,A
